59.41,84.88
59.41,93.36
8.49,42.44
59.41,8.49
93.36,59.41
67.9,84.88
67.9,76.39
59.41,76.39
50.93,76.39
42.44,76.39
33.95,67.9
42.44,67.9
50.93,67.9
59.41,67.9
67.9,67.9
76.39,67.9
84.88,67.9
25.46,59.41
33.95,59.41
42.44,59.41
50.93,59.41
59.41,59.41
67.9,59.41
76.39,59.41
84.88,59.41
16.98,50.93
25.46,50.93
33.95,50.93
42.44,50.93
50.93,50.93
59.41,50.93
67.9,50.93
76.39,50.93
84.88,50.93
93.36,50.93
16.98,42.44
25.46,42.44
33.95,42.44
42.44,42.44
50.93,42.44
59.41,42.44
67.9,42.44
76.39,42.44
84.88,42.44
93.36,42.44
16.98,33.95
25.46,33.95
33.95,33.95
42.44,33.95
50.93,33.95
59.41,33.95
67.9,33.95
76.39,33.95
84.88,33.95
42.44,25.46
50.93,25.46
59.41,25.46
67.9,25.46
76.39,25.46
67.9,16.98
59.41,16.98
50.93,16.98
